id;nome;cep;endereco;Unnamed: 4;latitude;longitude
17406;SUPREMOCAFE;85610000;RUA NILO PECANHA 386, 386, FRANCISCO BELTRAO, BRASIL;;-26.15806;-52.97335
1662;SUP GAIVOTAS*;88190000;RUA DAS PALMEIRAS, 27, GOVERNADOR CELSO RAMOS, BRASIL;;-27.32363;-48.54064
1768;TIELI B. NORTE LJ01;88750000;RUA JORGE LACERDA, 1284, BRACO DO NORTE, BRASIL;;-28.28342;-49.15864
11995;MESCHKE MATRIZ;88330077;RUA AV DO ESTADO. 3103, BALNEARIO CAMBORIU, BRASIL;;-26.9399868;-48.6942209
12038;MESCHKE PIONEIROS;88331150;RUA AV DO ESTADO,1751, BALNEARIO CAMBORIU, BRASIL;;-26.9399868;-48.6942209
10679;PRADO SUPERMERCADO;88190000;RODOVIA SC 410, SN, GOVERNADOR CELSO RAMOS, BRASIL;;-27.32363;-48.54064
18060;PRADO SUPERMERCADO;88210000;AV GOVERNADOR CELSO RAMOS, 2262, PORTO BELO, BRASIL;;-27.15711;-48.57559
17266;CRAVIL JOSE BOITEUX;89145000;AVENIDA 26 DE ABRIL, 219, JOSE BOITEUX, BRASIL;;-26.96083;-49.62672
17267;CRAVIL P. GETULIO;89150000;ESTRADA GERAL - KM 28, 0, PRESIDENTE GETULIO, BRASIL;;-27.04537;-49.62231
17268;CRAVIL DONA EMMA;89155000;RUA PREFEITO SIDO SCHOEDER, 130, DONA EMMA, BRASIL;;-26.98604;-49.72478
16758;SUPER SANTOS SAO JOA;88107100;RUA ANTONIO JOVITA DUARTE, 5533, SAO JOSE, BRASIL;;-27.5769054;-48.6787481
11609;ITALO ATUBA;82620300;AV MARECHAL MASCARENHA DE MORAES, 1463, CURITIBA, BRASIL;;-25.3841001;-49.2165209
16835;ITALO SUPERMERCADOS;85857188;AV REPUBLICA ARGENTINA, 3496, FOZ DO IGUACU, BRASIL;;-25.535636;-54.553105
14939;SUPERMER BAHNIUK*;84600093;RUA TEIXEIRA SOARES, 390, UNIAO DA VITORIA, BRASIL;;-26.2249695;-51.0842142
16980;SUPERMERCADO BAHNIUK;84635000;RUA 14 DE DEZEMBRO, 701, PAULO FRONTIN, BRASIL;;-26.04033;-50.82886
17438;SUPERMERCADO MERCOC*;88110470;RUA JOSE ANTONIO THOMAZ, 207, SAO JOSE, BRASIL;;-27.5762367;-48.6222209
13298;SUP MACRIS SJ BA;88240000;RUA MARCOLINO DUARTE, 241, SAO JOAO BATISTA, BRASIL;;-27.27675;-48.84983
17501;SUPERMERCADOS MACRIS;88240000;RUA LEOBERTO LEAL, 155, SAO JOAO BATISTA, BRASIL;;-27.27675;-48.84983
5389;PANIF PADOCAS;83870000;AV MIGUEL KOMARCHESKI, 574, CAMPO DO TENENTE, BRASIL;;-25.98084;-49.68309
7799;PANIF SUPER PAO;84620000;AVENIDA INTERVENTOR MANOEL RIBAS, 159, CRUZ MACHADO, BRASIL;;-26.01536;-51.34563
11308;PADARIA SANTA HELENA;88111310;RUA DORALICE RAMOS PINHO, 395, SAO JOSE, BRASIL;;-27.5668691;-48.6212131
11677;PANIF SANTA ISABEL;88034102;R PASTOR WILLIAM RICHARD SCHISLER 2090, FLORIANOPOLIS, BRASIL;;-27.5841868;-48.4987299
15999;PADARIA PAO E DOCES;89490000;AV.VER JOSE NUNES CAVALHEIRO, 822, TRES BARRAS, BRASIL;;-26.11481;-50.3084
16011;PANIF CARAMELLI;83504000;R PROFESSOR ALFREDO VALENTE, 171, ALMIRANTE TAMANDARE, BRASIL;;-25.3315506;-49.2651216
16869;CAFE COIMBRA;84600140;RUA PROFESSOR CLETO, 150, UNIAO DA VITORIA, BRASIL;;-26.2334967;-51.090239
17485;CAFE SUNRISE-;88062020;RUA HENRIQUE VERA DO NASCIMENTO, 240, FLORIANOPOLIS, BRASIL;;-27.6051582;-48.4662172
17736;MINI KALZONE -;88139470;RUA HERCILIO NICOLAU DOS SANTOS, 10, PALHOCA, BRASIL;;-27.9019963;-48.5940628
18085;MERCEARIA E LANCHONE;89240000;AVENIDA ATLANTICA, 0, BALNEARIO BARRA DO SUL, BRASIL;;-26.2422;-48.63792
18112;ALPHA CAFETERIA LTDA;89167015;RUA BOTANICO KUHLMANN, 419, RIO DO SUL, BRASIL;;-27.2234999;-49.6402744
18167;CAFE AMELLI;88102050;RUA CHARLES FERRARI SALA01, 250, SAO JOSE, BRASIL;;-27.5968857;-48.6162608
18259;REI DOS SABORES;89218105;AVENIDA SANTOS DUMONT ANEXO NEOGRID, 935, JOINVILLE, BRASIL;;-26.242147;-48.83395
241;RESTAURANTE MAX MOPP;89239400;RODOVIA SC 301, 5743 KM 80, JOINVILLE, BRASIL;;-26.1984771;-48.920197
708;LANCH RIO SAO PAULO;89201250;RUA DONA FRANCISCA,411 SALA 02, JOINVILLE, BRASIL;;-26.2936116;-48.8409013
862;MUNDO SELV.COFFEE;88330000;AV. ATLANTICA,  2186 -LOJA 01, BALNEARIO CAMBORIU, BRASIL;;45.60634;9.30797
1111;LANCH HEISER;89250000;RUA DNA MATILDE, SN, JARAGUA DO SUL, BRASIL;;45.60634;9.30797
1394;BEBIBA CAFE LTDA;88330666;AVENIDA CENTRAL, 184 SALA 1, BALNEARIO CAMBORIU, BRASIL;;-26.9882941;-48.6359803
3560;CHURR O CUPIM;83215680;ROD BR 277 KM 06, SN, PARANAGUA, BRASIL;;-25.5647588;-48.5607584
6388;RESTAURANTE DO INDIO;88062000;CAMINHO DA COSTA DA LAGOA, SN, FLORIANOPOLIS, BRASIL;;-27.6037893;-48.4701952
7105;RESTAURANTE CLAUDIR;88190000;AV BELA VISTA, SN, GOVERNADOR CELSO RAMOS, BRASIL;;-27.32363;-48.54064
